id;target_star_rating;target_weighted_score;output_star_rating;output_weighted_score
1;Neutral;3.0029;Neutral;3.0536
2;Neutral;3.0031;Negative;1.2446
3;Neutral;3.0013;Neutral;3.2515
4;Neutral;3.0077;Negative;1.0726
5;Neutral;2.9986;Negative;1.208
6;Neutral;2.9978;Negative;1.9887
7;Neutral;3.0002;Neutral;2.8979
8;Neutral;3.0691;Neutral;2.3609
9;Neutral;2.9917;Negative;1.0332
10;Neutral;2.9891;Neutral;2.5772
11;Neutral;3.0036;Neutral;2.9926
12;Neutral;2.9989;Neutral;2.706
13;Neutral;3.0019;Neutral;3.0065
14;Neutral;3.4684;Negative;2.5435
15;Positive;4.2203;Negative;1.1279
16;Neutral;2.9953;Negative;1.158
17;Negative;1.051;Negative;1.7643
18;Neutral;2.9992;Neutral;2.4378
19;Positive;4.1975;Negative;1.0184
20;Neutral;3.0752;Negative;1.9339
21;Neutral;2.9998;Neutral;2.9972
22;Neutral;3.0175;Positive;4.3909
23;Neutral;3.0597;Negative;1.0025
24;Neutral;2.9998;Neutral;3.0011
25;Neutral;2.973;Negative;1.066
26;Neutral;3.1105;Negative;1.7007
27;Neutral;3.0063;Negative;1.8542
28;Neutral;2.999;Neutral;2.8838
29;Neutral;2.6345;Negative;1.6835
30;Neutral;3.0;Negative;1.7258
31;Neutral;3.0007;Neutral;2.6168
32;Neutral;2.9997;Neutral;2.9901
33;Neutral;3.0077;Neutral;3.0162
34;Neutral;3.0;Neutral;2.1246
35;Neutral;2.8912;Negative;1.0081
36;Neutral;3.8826;Neutral;3.3336
37;Neutral;3.0018;Neutral;3.1834
38;Neutral;3.0018;Neutral;2.9995
39;Neutral;2.9997;Neutral;2.9552
40;Neutral;2.998;Negative;1.5717
41;Neutral;3.0;Neutral;2.9998
42;Neutral;3.0027;Neutral;2.7773
43;Neutral;3.0421;Negative;1.7168
44;Neutral;3.0437;Neutral;2.3057
45;Neutral;3.0017;Neutral;2.9446
46;Neutral;3.0;Neutral;2.731
47;Neutral;3.0017;Neutral;2.83
48;Neutral;3.0084;Negative;1.1165
49;Neutral;2.9999;Neutral;3.0389
50;Neutral;2.9965;Neutral;2.9569
51;Neutral;2.9998;Neutral;2.981
52;Neutral;3.157;Neutral;2.7014
53;Neutral;3.0072;Neutral;2.9924
54;Neutral;3.0063;Negative;1.145
55;Neutral;2.9913;Neutral;2.9803
56;Positive;4.1059;Neutral;2.8568
57;Neutral;2.9976;Neutral;2.9884
58;Neutral;2.9956;Neutral;2.5108
59;Neutral;2.9928;Negative;1.6155
60;Neutral;2.9968;Negative;1.3793
61;Neutral;3.5361;Positive;4.4953
62;Neutral;3.0017;Neutral;2.9308
63;Neutral;2.9528;Negative;1.0042
64;Neutral;3.2775;Negative;1.434
65;Neutral;2.9876;Negative;1.0114
66;Neutral;3.2309;Neutral;2.9888
67;Positive;4.0503;Negative;1.1975
68;Neutral;2.9398;Neutral;2.5351
69;Neutral;3.1331;Negative;1.0165
70;Neutral;2.9989;Positive;4.3598
71;Neutral;3.5451;Negative;1.0037
72;Neutral;2.9293;Negative;1.2565
73;Neutral;3.0034;Neutral;2.9673
74;Neutral;2.5317;Negative;1.393
75;Neutral;2.9778;Neutral;2.9647
76;Positive;4.3635;Negative;1.0088
77;Neutral;2.4851;Neutral;2.1277
78;Neutral;3.0128;Negative;1.0292
79;Neutral;2.9973;Neutral;3.0259
80;Neutral;2.5992;Neutral;3.1345
81;Neutral;3.0061;Negative;1.0295
82;Neutral;2.9361;Neutral;2.847
83;Neutral;2.9994;Neutral;2.9953
84;Neutral;2.8367;Negative;1.1181
85;Neutral;3.8767;Negative;1.3125
86;Neutral;2.4647;Negative;1.1245
87;Negative;1.028;Neutral;2.4535
88;Positive;4.0453;Negative;1.2861
89;Neutral;3.0004;Neutral;3.2995
90;Neutral;2.9914;Neutral;2.9792
91;Neutral;2.9994;Neutral;2.5645
92;Neutral;3.0015;Neutral;2.4654
93;Neutral;3.0368;Neutral;3.0879
94;Neutral;3.0001;Neutral;2.9996
95;Neutral;2.9993;Neutral;2.9999
96;Neutral;2.9975;Neutral;2.6625
97;Neutral;2.9999;Negative;1.064
98;Neutral;3.0023;Neutral;3.012
99;Neutral;3.0014;Neutral;2.9912
100;Neutral;2.9988;Negative;1.1393
101;Positive;4.0853;Neutral;2.3117
102;Negative;1.0334;Neutral;2.9505
103;Neutral;3.0005;Neutral;2.6858
104;Neutral;2.9994;Neutral;2.2844
105;Neutral;2.9996;Neutral;2.9966
106;Neutral;2.9967;Neutral;2.9803
107;Positive;4.239;Positive;4.4782
108;Neutral;2.9988;Neutral;2.9972
109;Neutral;2.9883;Negative;1.1417
110;Neutral;2.9994;Neutral;3.4447
111;Neutral;2.5394;Negative;1.0025
112;Neutral;3.0005;Neutral;2.139
113;Neutral;2.9993;Neutral;2.9998
114;Neutral;3.0088;Neutral;2.965
115;Neutral;2.9999;Negative;1.3847
116;Neutral;2.9898;Negative;1.0391
117;Neutral;2.9995;Negative;1.0327
118;Neutral;3.0001;Neutral;2.9077
119;Neutral;2.9985;Neutral;2.8496
120;Negative;1.0005;Negative;1.0019
121;Neutral;3.0005;Negative;1.0394
122;Neutral;3.2444;Positive;4.5253
123;Neutral;2.9769;Negative;1.5619
124;Neutral;2.9752;Neutral;2.113
125;Neutral;2.9996;Negative;1.397
126;Neutral;3.0023;Neutral;2.8454
127;Neutral;3.0062;Neutral;3.0059
128;Neutral;2.9064;Neutral;2.8374
129;Neutral;2.0886;Negative;2.2303
130;Neutral;3.0268;Positive;3.2769
131;Neutral;3.0;Negative;1.0042
132;Neutral;3.0004;Neutral;2.9835
133;Neutral;2.9978;Negative;1.8422
134;Neutral;3.0;Neutral;3.0
135;Neutral;2.9994;Neutral;2.9978
136;Negative;1.2125;Negative;1.0018
137;Negative;1.7775;Negative;1.0019
138;Neutral;2.8562;Negative;1.598
139;Neutral;2.9921;Neutral;2.1599
140;Neutral;2.9756;Negative;1.2655
141;Negative;1.0947;Negative;1.0103
142;Neutral;2.9999;Neutral;2.9999
143;Neutral;2.0359;Negative;1.0795
144;Neutral;2.7111;Negative;1.3353
145;Neutral;3.0121;Negative;1.1009
146;Negative;1.1465;Negative;1.8984
147;Neutral;3.2028;Neutral;3.2212
148;Neutral;2.5286;Negative;1.0075
149;Neutral;2.9072;Neutral;2.9936
150;Positive;4.4782;Positive;4.4732
151;Negative;1.0022;Negative;1.0058
152;Neutral;2.9996;Neutral;2.9988
153;Neutral;2.954;Neutral;2.6386
154;Neutral;2.9993;Neutral;2.9554
155;Neutral;2.9967;Neutral;2.9621
