Technique: DEMON | Model: mistral-small-4 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 62.33s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval10_mistral1.json
Technique: DEMON | Model: mistral-small-4 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 76.97s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval10_mistral2.json
Technique: DEMON | Model: mistral-small-4 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 85.96s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval10_mistral3.json
Technique: FABUL | Model: mistral-small-4 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 56.91s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval10_mistral1.json
Technique: FABUL | Model: mistral-small-4 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 77.92s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval10_mistral2.json
Technique: FABUL | Model: mistral-small-4 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 77.16s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval10_mistral3.json
Technique: FEAR | Model: mistral-small-4 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 51.86s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval10_mistral1.json
Technique: FEAR | Model: mistral-small-4 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 69.82s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval10_mistral2.json
Technique: FEAR | Model: mistral-small-4 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 77.99s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval10_mistral3.json
Technique: LABEL | Model: mistral-small-4 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 64.11s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval10_mistral1.json
Technique: LABEL | Model: mistral-small-4 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 70.09s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval10_mistral2.json
Technique: LABEL | Model: mistral-small-4 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 75.44s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval10_mistral3.json
Technique: RELATIV | Model: mistral-small-4 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 55.64s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval10_mistral1.json
Technique: RELATIV | Model: mistral-small-4 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 64.23s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval10_mistral2.json
Technique: RELATIV | Model: mistral-small-4 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 75.37s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval10_mistral3.json
Technique: DEMON | Model: gpt-oss-120b | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 171.25s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval11_gpt1.json
Technique: DEMON | Model: gpt-oss-120b | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 290.01s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval11_gpt2.json
Technique: DEMON | Model: gpt-oss-120b | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 432.61s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval11_gpt3.json
Technique: FABUL | Model: gpt-oss-120b | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 198.87s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval11_gpt1.json
Technique: FABUL | Model: gpt-oss-120b | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 228.20s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval11_gpt2.json
Technique: FABUL | Model: gpt-oss-120b | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 336.17s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval11_gpt3.json
