id;target_star_rating;target_weighted_score;output_star_rating;output_weighted_score
1;Neutral;3.0029;Negative;1.2664
2;Neutral;3.0031;Neutral;2.9663
3;Neutral;3.0013;Neutral;2.6571
4;Neutral;3.0077;Negative;1.0011
5;Neutral;2.9986;Negative;1.0021
6;Neutral;2.9978;Neutral;2.7614
7;Neutral;3.0002;Negative;1.0027
8;Neutral;3.0691;Negative;1.7974
9;Neutral;2.9917;Negative;1.5566
10;Neutral;2.9891;Negative;1.0006
11;Neutral;3.0036;Negative;1.4787
12;Neutral;2.9989;Negative;1.0041
13;Neutral;3.0019;Neutral;2.9727
14;Neutral;3.4684;Negative;1.0004
15;Positive;4.2203;Negative;1.0032
16;Neutral;2.9953;Negative;1.292
17;Negative;1.051;Negative;1.0057
18;Neutral;2.9992;Negative;1.1696
19;Positive;4.1975;Negative;1.0026
20;Neutral;3.0752;Negative;1.0011
21;Neutral;2.9998;Negative;1.0006
22;Neutral;3.0175;Neutral;2.988
23;Neutral;3.0597;Negative;1.003
24;Neutral;2.9998;Negative;1.0025
25;Neutral;2.973;Negative;1.0025
26;Neutral;3.1105;Negative;1.0064
27;Neutral;3.0063;Negative;1.0046
28;Neutral;2.999;Negative;1.0006
29;Neutral;2.6345;Negative;1.0017
30;Neutral;3.0;Neutral;2.8854
31;Neutral;3.0007;Neutral;2.9986
32;Neutral;2.9997;Neutral;2.1342
33;Neutral;3.0077;Neutral;2.8337
34;Neutral;3.0;Negative;1.7766
35;Neutral;2.8912;Negative;1.0004
36;Neutral;3.8826;Negative;1.0014
37;Neutral;3.0018;Negative;1.4218
38;Neutral;3.0018;Neutral;2.9994
39;Neutral;2.9997;Negative;1.001
40;Neutral;2.998;Negative;1.0014
41;Neutral;3.0;Negative;1.9022
42;Neutral;3.0027;Negative;1.0021
43;Neutral;3.0421;Negative;1.0957
44;Neutral;3.0437;Negative;1.0096
45;Neutral;3.0017;Negative;1.2263
46;Neutral;3.0;Neutral;2.9037
47;Neutral;3.0017;Negative;1.0384
48;Neutral;3.0084;Neutral;2.9157
49;Neutral;2.9999;Neutral;2.7536
50;Neutral;2.9965;Neutral;2.9913
51;Neutral;2.9998;Negative;1.6645
52;Neutral;3.157;Negative;1.1604
53;Neutral;3.0072;Negative;1.0021
54;Neutral;3.0063;Negative;1.002
55;Neutral;2.9913;Negative;1.0014
56;Positive;4.1059;Negative;1.0057
57;Neutral;2.9976;Negative;1.0751
58;Neutral;2.9956;Negative;1.3334
59;Neutral;2.9928;Negative;1.001
60;Neutral;2.9968;Negative;1.0289
61;Neutral;3.5361;Negative;1.112
62;Neutral;3.0017;Negative;1.2796
63;Neutral;2.9528;Negative;1.0009
64;Neutral;3.2775;Negative;1.049
65;Neutral;2.9876;Negative;1.0055
66;Neutral;3.2309;Neutral;2.9998
67;Positive;4.0503;Negative;1.1834
68;Neutral;2.9398;Negative;1.0114
69;Neutral;3.1331;Negative;1.0424
70;Neutral;2.9989;Negative;1.1266
71;Neutral;3.5451;Negative;1.0189
72;Neutral;2.9293;Negative;1.5509
73;Neutral;3.0034;Neutral;2.6848
74;Neutral;2.5317;Negative;1.0178
75;Neutral;2.9778;Negative;1.8677
76;Positive;4.3635;Negative;1.2127
77;Neutral;2.4851;Negative;1.0548
78;Neutral;3.0128;Negative;1.0066
79;Neutral;2.9973;Neutral;2.8665
80;Neutral;2.5992;Negative;1.0009
81;Neutral;3.0061;Negative;1.0255
82;Neutral;2.9361;Negative;1.0008
83;Neutral;2.9994;Negative;1.0338
84;Neutral;2.8367;Negative;1.0802
85;Neutral;3.8767;Negative;1.3719
86;Neutral;2.4647;Negative;1.0007
87;Negative;1.028;Negative;1.0003
88;Positive;4.0453;Negative;1.0352
89;Neutral;3.0004;Negative;1.0012
90;Neutral;2.9914;Negative;1.0348
91;Neutral;2.9994;Negative;1.0097
92;Neutral;3.0015;Neutral;3.0013
93;Neutral;3.0368;Negative;1.0008
94;Neutral;3.0001;Neutral;2.9767
95;Neutral;2.9993;Negative;1.0704
96;Neutral;2.9975;Negative;1.0005
97;Neutral;2.9999;Negative;1.0028
98;Neutral;3.0023;Negative;1.3594
99;Neutral;3.0014;Negative;1.0143
100;Neutral;2.9988;Negative;1.002
101;Positive;4.0853;Negative;1.0288
102;Negative;1.0334;Negative;1.0002
103;Neutral;3.0005;Negative;1.1015
104;Neutral;2.9994;Negative;1.0004
105;Neutral;2.9996;Negative;1.9418
106;Neutral;2.9967;Negative;1.0011
107;Positive;4.239;Negative;1.0172
108;Neutral;2.9988;Negative;1.0885
109;Neutral;2.9883;Negative;1.0078
110;Neutral;2.9994;Negative;1.0009
111;Neutral;2.5394;Negative;1.0024
112;Neutral;3.0005;Negative;1.0019
113;Neutral;2.9993;Negative;1.0007
114;Neutral;3.0088;Negative;1.0006
115;Neutral;2.9999;Negative;1.0085
116;Neutral;2.9898;Negative;1.0173
117;Neutral;2.9995;Negative;1.0254
118;Neutral;3.0001;Neutral;2.9995
119;Neutral;2.9985;Negative;1.0664
120;Negative;1.0005;Negative;1.0008
121;Neutral;3.0005;Negative;1.0035
122;Neutral;3.2444;Positive;4.7653
123;Neutral;2.9769;Neutral;2.4697
124;Neutral;2.9752;Negative;1.0003
125;Neutral;2.9996;Negative;1.0055
126;Neutral;3.0023;Negative;1.3176
127;Neutral;3.0062;Neutral;2.9996
128;Neutral;2.9064;Negative;1.0008
129;Neutral;2.0886;Negative;1.0005
130;Neutral;3.0268;Negative;1.0028
131;Neutral;3.0;Neutral;3.0003
132;Neutral;3.0004;Neutral;2.9963
133;Neutral;2.9978;Neutral;2.9369
134;Neutral;3.0;Negative;1.8871
135;Neutral;2.9994;Neutral;2.6738
136;Negative;1.2125;Negative;1.0004
137;Negative;1.7775;Negative;1.0002
138;Neutral;2.8562;Negative;1.066
139;Neutral;2.9921;Neutral;2.5594
140;Neutral;2.9756;Negative;1.0067
141;Negative;1.0947;Negative;1.0004
142;Neutral;2.9999;Neutral;2.9998
143;Neutral;2.0359;Negative;1.0014
144;Neutral;2.7111;Negative;1.0532
145;Neutral;3.0121;Neutral;2.9771
146;Negative;1.1465;Negative;1.0602
147;Neutral;3.2028;Positive;3.7531
148;Neutral;2.5286;Negative;1.0004
149;Neutral;2.9072;Negative;1.0478
150;Positive;4.4782;Positive;4.3812
151;Negative;1.0022;Negative;1.0007
152;Neutral;2.9996;Negative;2.5399
153;Neutral;2.954;Neutral;2.9546
154;Neutral;2.9993;Negative;1.7793
155;Neutral;2.9967;Negative;1.8132
