id;target_star_rating;target_weighted_score;output_star_rating;output_weighted_score
1;Neutral;3.0029;Negative;1.0007
2;Neutral;3.0031;Negative;1.0015
3;Neutral;3.0013;Negative;1.0008
4;Neutral;3.0077;Negative;1.002
5;Neutral;2.9986;Negative;1.0272
6;Neutral;2.9978;Negative;1.0068
7;Neutral;3.0002;Negative;1.0021
8;Neutral;3.0691;Negative;1.023
9;Neutral;2.9917;Neutral;2.0923
10;Neutral;2.9891;Negative;1.0008
11;Neutral;3.0036;Negative;1.001
12;Neutral;2.9989;Negative;1.0006
13;Neutral;3.0019;Positive;3.1395
14;Neutral;3.4684;Negative;1.0003
15;Positive;4.2203;Negative;1.0004
16;Neutral;2.9953;Negative;1.0006
17;Negative;1.051;Negative;1.0006
18;Neutral;2.9992;Negative;1.0013
19;Positive;4.1975;Negative;1.0004
20;Neutral;3.0752;Negative;1.0003
21;Neutral;2.9998;Negative;1.0004
22;Neutral;3.0175;Negative;1.0004
23;Neutral;3.0597;Negative;1.0011
24;Neutral;2.9998;Negative;1.0004
25;Neutral;2.973;Negative;1.0005
26;Neutral;3.1105;Negative;1.0005
27;Neutral;3.0063;Negative;1.0016
28;Neutral;2.999;Negative;1.0011
29;Neutral;2.6345;Negative;1.0006
30;Neutral;3.0;Negative;1.0025
31;Neutral;3.0007;Negative;1.0011
32;Neutral;2.9997;Negative;1.0006
33;Neutral;3.0077;Negative;1.1158
34;Neutral;3.0;Negative;1.0005
35;Neutral;2.8912;Negative;1.0005
36;Neutral;3.8826;Negative;1.0006
37;Neutral;3.0018;Negative;1.6555
38;Neutral;3.0018;Negative;1.0006
39;Neutral;2.9997;Negative;1.0009
40;Neutral;2.998;Negative;1.0006
41;Neutral;3.0;Negative;1.0006
42;Neutral;3.0027;Negative;1.0003
43;Neutral;3.0421;Negative;1.0009
44;Neutral;3.0437;Negative;1.0072
45;Neutral;3.0017;Negative;1.1202
46;Neutral;3.0;Negative;1.0014
47;Neutral;3.0017;Negative;1.0911
48;Neutral;3.0084;Negative;1.0121
49;Neutral;2.9999;Negative;1.0006
50;Neutral;2.9965;Negative;1.0055
51;Neutral;2.9998;Negative;1.0013
52;Neutral;3.157;Negative;1.0014
53;Neutral;3.0072;Negative;1.0025
54;Neutral;3.0063;Negative;1.002
55;Neutral;2.9913;Negative;1.0003
56;Positive;4.1059;Negative;1.0017
57;Neutral;2.9976;Negative;1.0088
58;Neutral;2.9956;Neutral;2.0091
59;Neutral;2.9928;Negative;1.0003
60;Neutral;2.9968;Negative;1.0656
61;Neutral;3.5361;Negative;1.0004
62;Neutral;3.0017;Negative;1.0007
63;Neutral;2.9528;Negative;1.0592
64;Neutral;3.2775;Negative;1.0005
65;Neutral;2.9876;Negative;1.0003
66;Neutral;3.2309;Negative;1.0011
67;Positive;4.0503;Negative;1.001
68;Neutral;2.9398;Negative;1.0003
69;Neutral;3.1331;Negative;1.0082
70;Neutral;2.9989;Negative;1.001
71;Neutral;3.5451;Negative;1.0003
72;Neutral;2.9293;Negative;1.009
73;Neutral;3.0034;Negative;1.0098
74;Neutral;2.5317;Negative;1.004
75;Neutral;2.9778;Negative;1.0099
76;Positive;4.3635;Negative;1.0019
77;Neutral;2.4851;Negative;1.0046
78;Neutral;3.0128;Negative;1.0007
79;Neutral;2.9973;Negative;1.0003
80;Neutral;2.5992;Negative;1.0003
81;Neutral;3.0061;Negative;1.0009
82;Neutral;2.9361;Negative;1.0007
83;Neutral;2.9994;Negative;1.0003
84;Neutral;2.8367;Negative;1.0008
85;Neutral;3.8767;Negative;1.0018
86;Neutral;2.4647;Negative;1.001
87;Negative;1.028;Negative;1.0004
88;Positive;4.0453;Negative;1.0022
89;Neutral;3.0004;Negative;1.0064
90;Neutral;2.9914;Negative;1.1694
91;Neutral;2.9994;Negative;1.0079
92;Neutral;3.0015;Negative;1.0025
93;Neutral;3.0368;Negative;1.0005
94;Neutral;3.0001;Negative;1.9425
95;Neutral;2.9993;Negative;1.0104
96;Neutral;2.9975;Negative;1.0813
97;Neutral;2.9999;Neutral;2.7987
98;Neutral;3.0023;Neutral;2.8224
99;Neutral;3.0014;Negative;1.0019
100;Neutral;2.9988;Negative;1.0009
101;Positive;4.0853;Negative;1.0012
102;Negative;1.0334;Negative;1.0002
103;Neutral;3.0005;Negative;1.0043
104;Neutral;2.9994;Negative;1.0003
105;Neutral;2.9996;Negative;1.002
106;Neutral;2.9967;Negative;1.0104
107;Positive;4.239;Negative;1.0002
108;Neutral;2.9988;Negative;1.0004
109;Neutral;2.9883;Negative;1.0004
110;Neutral;2.9994;Negative;1.0011
111;Neutral;2.5394;Negative;1.144
112;Neutral;3.0005;Negative;1.0007
113;Neutral;2.9993;Negative;1.0014
114;Neutral;3.0088;Negative;1.0003
115;Neutral;2.9999;Neutral;2.6998
116;Neutral;2.9898;Negative;1.0011
117;Neutral;2.9995;Negative;1.0008
118;Neutral;3.0001;Negative;1.0182
119;Neutral;2.9985;Negative;1.3483
120;Negative;1.0005;Negative;1.0003
121;Neutral;3.0005;Negative;1.0029
122;Neutral;3.2444;Negative;1.0003
123;Neutral;2.9769;Negative;1.746
124;Neutral;2.9752;Negative;1.0024
125;Neutral;2.9996;Negative;1.0012
126;Neutral;3.0023;Negative;1.0005
127;Neutral;3.0062;Negative;1.1429
128;Neutral;2.9064;Negative;1.0006
129;Neutral;2.0886;Negative;1.0009
130;Neutral;3.0268;Negative;1.0005
131;Neutral;3.0;Negative;1.0366
132;Neutral;3.0004;Negative;1.0025
133;Neutral;2.9978;Neutral;2.9898
134;Neutral;3.0;Negative;1.0187
135;Neutral;2.9994;Negative;1.0013
136;Negative;1.2125;Negative;1.0004
137;Negative;1.7775;Negative;1.0003
138;Neutral;2.8562;Negative;1.0003
139;Neutral;2.9921;Negative;1.0003
140;Neutral;2.9756;Negative;1.0038
141;Negative;1.0947;Negative;1.0003
142;Neutral;2.9999;Negative;1.0011
143;Neutral;2.0359;Negative;1.0004
144;Neutral;2.7111;Neutral;2.073
145;Neutral;3.0121;Negative;1.0541
146;Negative;1.1465;Negative;1.0009
147;Neutral;3.2028;Negative;1.0013
148;Neutral;2.5286;Negative;1.0003
149;Neutral;2.9072;Negative;1.0009
150;Positive;4.4782;Negative;1.0055
151;Negative;1.0022;Negative;1.0004
152;Neutral;2.9996;Negative;1.006
153;Neutral;2.954;Negative;1.0048
154;Neutral;2.9993;Negative;1.0005
155;Neutral;2.9967;Negative;1.0377
