id;target_star_rating;target_weighted_score;output_star_rating;output_weighted_score
1;Neutral;3.0029;Neutral;3.0173
2;Neutral;3.0031;Negative;1.1224
3;Neutral;3.0013;Neutral;3.0554
4;Neutral;3.0077;Neutral;2.4878
5;Neutral;2.9986;Negative;1.0437
6;Neutral;2.9978;Neutral;2.9124
7;Neutral;3.0002;Negative;1.0015
8;Neutral;3.0691;Positive;4.1388
9;Neutral;2.9917;Neutral;2.8887
10;Neutral;2.9891;Negative;1.1056
11;Neutral;3.0036;Positive;4.0514
12;Neutral;2.9989;Neutral;3.1191
13;Neutral;3.0019;Positive;4.173
14;Neutral;3.4684;Negative;1.0009
15;Positive;4.2203;Neutral;2.9654
16;Neutral;2.9953;Neutral;3.0855
17;Negative;1.051;Negative;1.0008
18;Neutral;2.9992;Neutral;3.0004
19;Positive;4.1975;Positive;4.5457
20;Neutral;3.0752;Neutral;3.454
21;Neutral;2.9998;Positive;4.5276
22;Neutral;3.0175;Negative;1.0782
23;Neutral;3.0597;Negative;1.0389
24;Neutral;2.9998;Negative;1.3173
25;Neutral;2.973;Negative;1.041
26;Neutral;3.1105;Positive;4.5638
27;Neutral;3.0063;Negative;1.0072
28;Neutral;2.999;Negative;1.0018
29;Neutral;2.6345;Negative;1.8404
30;Neutral;3.0;Neutral;3.0184
31;Neutral;3.0007;Neutral;3.0013
32;Neutral;2.9997;Negative;1.0007
33;Neutral;3.0077;Neutral;3.5564
34;Neutral;3.0;Neutral;3.1883
35;Neutral;2.8912;Negative;1.0035
36;Neutral;3.8826;Negative;1.0948
37;Neutral;3.0018;Neutral;3.5186
38;Neutral;3.0018;Neutral;3.0007
39;Neutral;2.9997;Positive;4.2972
40;Neutral;2.998;Negative;1.0156
41;Neutral;3.0;Neutral;3.0002
42;Neutral;3.0027;Neutral;3.1024
43;Neutral;3.0421;Neutral;2.9642
44;Neutral;3.0437;Neutral;3.0453
45;Neutral;3.0017;Negative;1.578
46;Neutral;3.0;Neutral;2.9979
47;Neutral;3.0017;Positive;4.3978
48;Neutral;3.0084;Neutral;3.0221
49;Neutral;2.9999;Neutral;2.9887
50;Neutral;2.9965;Neutral;3.0028
51;Neutral;2.9998;Neutral;2.8214
52;Neutral;3.157;Negative;1.0907
53;Neutral;3.0072;Neutral;2.1133
54;Neutral;3.0063;Neutral;2.9108
55;Neutral;2.9913;Negative;1.2079
56;Positive;4.1059;Positive;4.4328
57;Neutral;2.9976;Negative;1.5006
58;Neutral;2.9956;Negative;1.1421
59;Neutral;2.9928;Negative;1.0014
60;Neutral;2.9968;Neutral;2.8136
