id;target_star_rating;target_weighted_score;output_star_rating;output_weighted_score
1;Neutral;3.0029;Negative;1.006
2;Neutral;3.0031;Neutral;2.1857
3;Neutral;3.0013;Negative;1.0074
4;Neutral;3.0077;Negative;1.005
5;Neutral;2.9986;Negative;1.0022
6;Neutral;2.9978;Negative;1.4911
7;Neutral;3.0002;Negative;1.0012
8;Neutral;3.0691;Neutral;3.164
9;Neutral;2.9917;Negative;1.2407
10;Neutral;2.9891;Negative;1.0014
11;Neutral;3.0036;Negative;1.0057
12;Neutral;2.9989;Negative;1.0012
13;Neutral;3.0019;Negative;1.0112
14;Neutral;3.4684;Negative;1.0006
15;Positive;4.2203;Negative;1.0075
16;Neutral;2.9953;Negative;1.0066
17;Negative;1.051;Negative;1.0007
18;Neutral;2.9992;Negative;1.0023
19;Positive;4.1975;Negative;1.0016
20;Neutral;3.0752;Negative;1.0025
21;Neutral;2.9998;Negative;1.0009
22;Neutral;3.0175;Negative;1.0053
23;Neutral;3.0597;Negative;1.0011
24;Neutral;2.9998;Neutral;2.9386
25;Neutral;2.973;Negative;1.0008
26;Neutral;3.1105;Negative;1.0016
27;Neutral;3.0063;Negative;1.0013
28;Neutral;2.999;Negative;1.0011
29;Neutral;2.6345;Negative;1.0013
30;Neutral;3.0;Negative;1.0011
31;Neutral;3.0007;Negative;1.0636
32;Neutral;2.9997;Negative;1.0006
33;Neutral;3.0077;Negative;1.0025
34;Neutral;3.0;Neutral;2.9885
35;Neutral;2.8912;Negative;1.0002
36;Neutral;3.8826;Negative;1.0996
37;Neutral;3.0018;Neutral;3.0066
38;Neutral;3.0018;Neutral;3.6477
39;Neutral;2.9997;Negative;1.0424
40;Neutral;2.998;Negative;1.024
41;Neutral;3.0;Neutral;2.2919
42;Neutral;3.0027;Neutral;2.9702
43;Neutral;3.0421;Negative;1.0108
44;Neutral;3.0437;Neutral;3.0474
45;Neutral;3.0017;Negative;1.38
46;Neutral;3.0;Negative;1.1771
47;Neutral;3.0017;Negative;1.9175
48;Neutral;3.0084;Negative;1.0299
49;Neutral;2.9999;Negative;1.1092
50;Neutral;2.9965;Negative;1.1497
51;Neutral;2.9998;Negative;1.0085
52;Neutral;3.157;Negative;1.0256
53;Neutral;3.0072;Negative;1.1074
54;Neutral;3.0063;Positive;4.5929
55;Neutral;2.9913;Negative;1.0009
56;Positive;4.1059;Negative;1.0199
57;Neutral;2.9976;Negative;1.0014
58;Neutral;2.9956;Neutral;2.9974
59;Neutral;2.9928;Negative;1.0014
60;Neutral;2.9968;Negative;1.0023
61;Neutral;3.5361;Negative;1.0269
62;Neutral;3.0017;Negative;1.3068
63;Neutral;2.9528;Negative;2.3033
64;Neutral;3.2775;Negative;1.0006
65;Neutral;2.9876;Negative;1.0015
66;Neutral;3.2309;Negative;1.0022
67;Positive;4.0503;Neutral;2.4344
68;Neutral;2.9398;Negative;1.0007
69;Neutral;3.1331;Negative;1.0281
70;Neutral;2.9989;Negative;1.0016
71;Neutral;3.5451;Negative;1.0102
72;Neutral;2.9293;Neutral;2.8947
73;Neutral;3.0034;Neutral;2.8736
74;Neutral;2.5317;Negative;1.0176
75;Neutral;2.9778;Negative;1.0062
76;Positive;4.3635;Neutral;2.7599
77;Neutral;2.4851;Negative;1.0196
78;Neutral;3.0128;Negative;1.0242
79;Neutral;2.9973;Neutral;2.9854
80;Neutral;2.5992;Negative;1.0057
81;Neutral;3.0061;Negative;1.0015
82;Neutral;2.9361;Negative;1.0044
83;Neutral;2.9994;Negative;1.0007
84;Neutral;2.8367;Negative;1.0009
85;Neutral;3.8767;Negative;1.0019
86;Neutral;2.4647;Negative;1.006
87;Negative;1.028;Negative;1.0005
88;Positive;4.0453;Neutral;2.5637
89;Neutral;3.0004;Negative;1.0008
90;Neutral;2.9914;Negative;1.0006
91;Neutral;2.9994;Negative;1.4054
92;Neutral;3.0015;Positive;3.9859
93;Neutral;3.0368;Negative;1.0022
94;Neutral;3.0001;Neutral;2.998
95;Neutral;2.9993;Negative;1.0073
96;Neutral;2.9975;Negative;1.0005
97;Neutral;2.9999;Negative;1.1099
98;Neutral;3.0023;Neutral;2.9076
99;Neutral;3.0014;Negative;1.0014
100;Neutral;2.9988;Neutral;2.9099
101;Positive;4.0853;Positive;3.9758
102;Negative;1.0334;Negative;1.0003
103;Neutral;3.0005;Negative;1.9275
104;Neutral;2.9994;Negative;1.0008
105;Neutral;2.9996;Negative;1.0015
106;Neutral;2.9967;Negative;1.0004
107;Positive;4.239;Negative;1.0021
108;Neutral;2.9988;Negative;1.0025
109;Neutral;2.9883;Negative;1.0098
110;Neutral;2.9994;Negative;1.0005
111;Neutral;2.5394;Negative;1.0023
112;Neutral;3.0005;Negative;1.0006
113;Neutral;2.9993;Neutral;2.953
114;Neutral;3.0088;Negative;1.0003
115;Neutral;2.9999;Negative;1.0051
116;Neutral;2.9898;Negative;1.0031
117;Neutral;2.9995;Negative;1.0012
118;Neutral;3.0001;Negative;1.0647
119;Neutral;2.9985;Negative;1.0118
120;Negative;1.0005;Negative;1.0005
121;Neutral;3.0005;Negative;1.0054
122;Neutral;3.2444;Negative;1.0092
123;Neutral;2.9769;Negative;1.0251
124;Neutral;2.9752;Negative;1.0007
125;Neutral;2.9996;Negative;1.0121
126;Neutral;3.0023;Negative;1.0148
127;Neutral;3.0062;Neutral;2.9968
128;Neutral;2.9064;Negative;1.0006
129;Neutral;2.0886;Negative;1.0016
130;Neutral;3.0268;Negative;1.5633
131;Neutral;3.0;Negative;1.0106
132;Neutral;3.0004;Negative;1.0074
133;Neutral;2.9978;Negative;1.0273
134;Neutral;3.0;Neutral;3.0005
135;Neutral;2.9994;Neutral;2.994
136;Negative;1.2125;Negative;1.004
137;Negative;1.7775;Negative;1.0003
138;Neutral;2.8562;Negative;1.0835
139;Neutral;2.9921;Negative;1.0008
140;Neutral;2.9756;Negative;1.0006
141;Negative;1.0947;Negative;1.0005
142;Neutral;2.9999;Negative;1.9415
143;Neutral;2.0359;Negative;1.0011
144;Neutral;2.7111;Negative;1.0004
145;Neutral;3.0121;Neutral;3.0269
146;Negative;1.1465;Negative;1.0631
147;Neutral;3.2028;Negative;1.1413
148;Neutral;2.5286;Negative;1.0004
149;Neutral;2.9072;Negative;1.0009
150;Positive;4.4782;Negative;1.0208
151;Negative;1.0022;Negative;1.0005
152;Neutral;2.9996;Neutral;2.4902
153;Neutral;2.954;Negative;1.0268
154;Neutral;2.9993;Negative;1.3011
155;Neutral;2.9967;Neutral;2.1435
